;Clothing.ID;Age;Title;Review.Text;Rating;Recommended.IND;Positive.Feedback.Count;Division.Name;Department.Name;Class.Name,,,,,,,,,,,,
1;767;33;;Absolutely wonderful - silky and sexy and comfortable;4;1;0;Initmates;Intimate;Intimates,,,,,,,,,,,,
"2;1080;34;;""Love this dress!  it's sooo pretty.  i happened to find it in a store"," and i'm glad i did bc i never would have ordered it online bc it's petite.  i bought a petite and am 5'8"""".  i love the length on me- hits just a little below the knee.  would definitely be a true midi on someone who is truly petite."";5;1;4;General;Dresses;Dresses",,,,,,,,,,,
3;1077;60;Some major design flaws;I had such high hopes for this dress and really wanted it to work for me. i initially ordered the petite small (my usual size) but i found this to be outrageously small. so small in fact that i could not zip it up! i reordered it in petite medium, which was just ok. overall, the top half was comfortable and fit nicely, but the bottom half had a very tight under layer and several somewhat cheap (net) over layers. imo, a major design flaw was the net over layer sewn directly into the zipper - it c;3;0;0;General;Dresses;Dresses,,,,,,,,
90;836;24;Pretty," but not for me...;""I bought this top online in the burnt orange color and was so excited to get it. when i tried it on", the fit was fine but it just lacked...something. the back was a little bit too long, the front was a little bit too short and it lacked the overall tailored look that i was after. gorgeous fabric and top," but not for me. i wanted something more for $150! bought the velvet tunic instead ;)"";4;1;3;General;Tops;Blouses",,,,,,,,
91;1078;51;Sweet flattering dress;I love cute summer dresses and this one, especially because it is made out of linen, is unique. it is very well-made with a design that is quite flattering. i am 5 foot 6 and a little curvy with a 38 c bust and i got a size 10. it fits well although it is difficult to zip up because the material has no give. the perfect dress to wear to italy or france! now i just have to book my tickets!;4;1;0;General Petite;Dresses;Dresses,,,,,,,,,,
92;850;29;;This top is so much prettier in real life than it is on the model. the pattern and texture are both lovely, and the peplum is surprisingly flattering. it is definitely on the short side, but i think that gives it a modern look. the fabric does not stretch at all, but i still think it fits tts. if you have a very large chest you may want to go up a size, but otherwise i would order your normal size.;5;1;5;General Petite;Tops;Blouses,,,,,,,,
93;861;23;;;5;1;0;General Petite;Tops;Knits,,,,,,,,,,,,
94;1081;31;;;5;1;0;General;Dresses;Dresses,,,,,,,,,,,,
95;850;23;Beautifully made, but not versatile;This shirt caught my eye because of how beautiful it was. i love the shape, design, and and the color. it's perfect for spring and summer with some white pants. unfortunately, i don't see any possibilities for this shirt to be worn any other way. so far, it doesn't work with any of my jeans, skirts, or shorts. i usually prefer items with more versatility for outfits, so i'm still on the fence if i'm going to keep it or not. with that aside, it seriously is a great quality shirt with a beautiful;4;1;3;General Petite;Tops;Blouses,,,
"96;863;83;Casual elegance!;""Purchased this top online", and when i received it was very pleased.,,,,,,,,,,,
it has and elegant cut and yet is a casual fabric.,,,,,,,,,,,,
love that the sleeves run longer......ads to the overall look.,,,,,,,,,,,,
also loved the v neckline.........enhances the feel of the overall style.,,,,,,,,,,,,
with various necklaces this top has limitless options!,,,,,,,,,,,,
the color states moss....which i usually think of as greenish brown......i found it to be more of a taupe.,,,,,,,,,,,,
would have liked it to have a green tones," however it is still a fantastic f"";5;1;14;General;Tops;Knits",,,,,,,,,,,
"97;845;44;;""I usually wear a medium and bought a small. it fit ok", but had no shape and was not flattering. i love baby doll dresses and tops," but this was a tent. my daughter saw me try it on and said """"that's a piece of tablecloth."""" it's going back."";1;0;0;General Petite;Tops;Blouses",,,,,,,,,,
98;861;44;Huge;I was very excited to order this top in red xs. so cute, but it was huge, shapeless and support thin! it had to go back. i should've looked at other reviews.;1;0;0;General Petite;Tops;Knits,,,,,,,,,,
99;1133;50;;;5;1;0;General;Jackets;Outerwear,,,,,,,,,,,,
100;861;33;Pernette henley;I am in need of easy comfortable tops for everyday wear. i bought this top mostly because of the cute buttons. when i received it, it looked exactly as it does in the picture online, however, the buttons kept slipping out of their homes because the holes were slightly too big. the shirt fit but was just a tad snug near the upper arms, which would stretch and loosen up throughout the day. it's definitely a comfortable shirt, but it felt more like a pajama top. it's going back.;3;0;17;General Petite;Tops;Knits,,,,,,,
101;861;39;Comfy;At first i wasn't sure about it. the neckline is much lower and wavy than i thought. but after wearing it, it really is comfortable. it stretches a lot, so i wear a cami underneath so when i lean forward i'm not showing the world my torso.;4;1;0;General Petite;Tops;Knits,,,,,,,,,,
102;863;40;Simple, stylish, lovely-runs a bit big;I find that this brand can be a little bit all-over-the-place with sizes. had i tried this on in person i may have bought it in a small instead of a m. despite being a bit big it still looks great and hides my flaws well. i bought a m in another shirt from them (the seamed scoop neck) and that shirt was a full 2 inches smaller in the bust than this. just something to keep in mind. still a great shirt, love the neutral color.;4;1;5;General;Tops;Knits,,,,,,,,,
103;822;69;Stunning lace top;This top is absolutely stunning. i purchased the white one. just received and it fits nicely-a little on the big side but i believe it looks better that way. this will look great with everything. it is well constructed and looks very unique. love it!;5;1;2;General;Tops;Blouses,,,,,,,,,,,,
104;822;23;Not a fan;The fabric felt cheap and i didn't find it to be a flattering top. for reference i am wearing a medium in the photos and my measurements are 38-30-40.;2;0;9;General;Tops;Blouses,,,,,,,,,,,,
105;863;51;;Runs big and looked unflattering. i am petite, might work on someone taller.;2;0;0;General;Tops;Knits,,,,,,,,,,,
"106;836;66;Excited ... but ...;""I bought this lovely silk/velvet shirt in the &quot;sky&quot; color but it is more on the teal blue side than sky blue"," which disappointed me. it is definitely darker than appears in photo. still a luxurious well-made beauty with sassy appeal. it drapes like a snake slithering down your body. it comes with attitude."";5;1;0;General;Tops;Blouses",,,,,,,,,,,
107;836;47;Beautiful shirt but runs small!;Was so excited to order this beautiful shirt!  and the color sky is gorgeous!  but as another reviewer said--it runs small.  it was also way too short.  so sadly i will be returning this.  i gave it 5 stars because it is beautiful and great quality--it just didn't fit me.;4;1;11;General;Tops;Blouses,,,,,,,,,,,,
108;836;66;Beautiful;I ordered ivory in xl because this brand tends to run tight if you're well endowed. it's a beautiful color and i love the contrasting plaid lining the inside of the collar and cuffs. haven't decided about keeping it because it looks oversized (but cozy) and it's really long. it almost touches the top of my knees in back. sooooo pretty though.;4;1;0;General;Tops;Blouses,,,,,,,,,,,,
109;836;23;Perfect fall shirt!;The shirt is exactly as it is pictured, i have the burnt orange color and love it! i received numerous compliments both paired with jeans and tucked into a fun skirt. it fits true to size, as i normally wear a small in all retailer however it is the slightest bit tight in the shoulders. i would give this top a 5/5.;5;1;3;General;Tops;Blouses,,,,,,,,,,
110;1081;47;;Perfect dress for hot, humid, sticky weather.;5;1;0;General;Dresses;Dresses,,,,,,,,,,
111;861;44;Poor quality;This is so thin and poor quality. especially for the price. it felt like a thin pajama top. the buttons are terrible little shell buttons. this could not have been returned faster.;1;0;11;General Petite;Tops;Knits,,,,,,,,,,,,
"112;1081;44;An almost for me...;""I didn't end up keeping this dress...it just wasn't right for me. it is very cute and fit well but the fabric was very thin (partially lined which is a plus) and the hem line coming up on the sides made it just too short for me. i ordered the petite xs and liked the length in front and back well but the side slit/vent was just too high for my liking. the tie part hit at the perfect spot for me at only 5'4"""" (~118#). i guess i just didn't """"love"""" it and would rather save my funds for something i ca"";3;1;4;General;Dresses;Dresses",,,,,,,,,,,,
113;836;50;Beautiful, stunning," cozy top!;""I read the first review on this and ordered both a small and a medium as i thought this would run small. i have to totally disagree with the reviewer! i find that this top runs true to size or even generous! the sky color is so pretty and this top can be dressed up with some nice heels and a necklace or it can be comfy casual! i usually wear a small in hh brand and this one was true to fit (5""""2""""", broad shoulders," 120 lb)"";5;1;24;General;Tops;Blouses",,,,,,,,
"114;1081;61;Cute and comfy;""This dress is comfortable and stylish at the same time. it runs true to size. i'm 5'1"""" 113 lbs and got the xs petite. wore it once so far for a few hours and got a few compliments on it!"";5;1;3;General;Dresses;Dresses",,,,,,,,,,,,
"115;1082;32;Disappointing quality;""The design/shape of the dress are quite flattering", flirty and feminine. but.... there is no way that the dress i received is new. the color is a faded washed out red and there are black stains all over the belt area. there is no tag... the fabric looks droopy and laundered and is not crisp, stiff or new. i am very disappointed by the quality of the item that i received. undoubtedly this one is going back.,,,,,,,,,,
,,,,,,,,,,,,
"dear retailer - please make sure that you do not send pre-owend clothing articles to"";2;0;0;General;Dresses;Dresses",,,,,,,,,,,,
116;863;52;Cute tee;This one totally worked for me. love the color, length, and style.;4;1;0;General;Tops;Knits,,,,,,,,,,
"117;1072;51;Very vintage feel;""Prior reviewer nailed it with the summary of this dress. it definitely needs heels. i'm 5'4""""", 120#," 34d and this is a size 36. i usually wear a size s or 4 with most retailer stuff."";4;1;1;General;Dresses;Dresses",,,,,,,,,,
"118;1078;32;;""This is the perfect summer dress. it can be dressed up or down. the quality of the linen fabric is very nice. i'm 5'1"""" and it hit right below my knees. i found it to run true to size. those with a smaller bust might want to go down a size"," but the tie in the front can be adjusted. it's lovely."";5;1;2;General Petite;Dresses;Dresses",,,,,,,,,,,
119;850;37;Awkward fitting;First, the fabric is beautiful and lovely for spring and summer. i really wanted to like this top, but the fitting is so awkward for me. i typically where a 0/xs, and sized up in the shirt to a size 2. it was very tight and pulled funny across the chest (size 32/a). i also found the cut at the shoulders very narrow (need a strapless bra) and made it look unflattering overall. had to return this one back to the store.;2;0;0;General;Tops;Blouses,,,,,,,,,
"120;836;54;Cozy casual - perfect for fall;""The color is perfect for fall and into winter. only the inside collar on the photo shows the subtle plaid lining. the lining was an unexpected bonus", and adds even more dimension to the shirt if the sleeves are turned up.,,,,,,,,,,,
the fit is true to size and the 'stressed' velvet fabric is current for this season.,,,,,,,,,,,,
"i'm going to enjoy wearing this shirt."";5;1;4;General;Tops;Blouses",,,,,,,,,,,,
121;861;33;The perfect striped t;The perfect striped t-shirt, and the cute little buttons down the front are a wonderful accent with each one being different. i love it!;5;1;0;General Petite;Tops;Knits,,,,,,,,,,,
122;966;63;;Great look and you can wear this vest with almost everything . i normally wear a small but they only had mediums and it fit fine( i like it tied). this will stay in my closet all year round . it does look like it will wrinkle easily but that doesn't bother me . a must buy !;5;1;0;General;Jackets;Jackets,,,,,,,,,,,,
123;1196;29;;This is a great pull over dress that can easily be dressed to wear to work, to a bbq, or to happy hour. i have a large chest which sometimes makes this fit look like a tent but this fabric drapes nicely. the only thing i would note is the neckline was slightly higher on me than for the model.;5;1;0;General Petite;Dresses;Dresses,,,,,,,,,,
"124;836;24;So beautiful! gorgeous orange color!;""After reading the previous reviews"," i ordered a size larger. i am so glad i did it! it fits perfectly! i am 5'4""""/115/32dd and went with the s regular. so beautiful! i can't wait to wear it!"";5;1;0;General;Tops;Blouses",,,,,,,,,,,
125;923;50;Lovely top," not lovely shape;""I was so excited to try out this top since it was such a bargain and neutral. unfortunately"," the shape is """"a"""" line and accentuates the hip area a bit more than i find flattering. so"," it will be returned."";3;0;2;General;Tops;Sweaters",,,,,,,,,
126;1072;34;Wonderfully made," poorly designed for busty gals;""Like others reviewers mentioned on here", this dress is extremely well made. but there were too many cons for me, as well. this would most certainly work on a petite/shorter frame, but for tall, busty, and curvier girls, it just sits wrong on all places unfortunately. the color is lovely along with the nice collar that ties in the back really made this dress stand out.,,,,,
,,,,,,,,,,,,
however," i'm a 36c and found that the arm/shoulder part so large and bulky that is made me look bigger on top. there was entirel"";3;1;1;General;Dresses;Dresses",,,,,,,,,,,
"127;1133;71;;""I read the previous reviews and had hoped that the exclamations about the color being inaccurate were exaggerated- however they are sadly very true. let me be clear that this is a beautiful", comfortable piece of clothing- when you put it on it feels thick and of very good quality. and while the pattern is interesting and pretty," the """"dark orange"""" color i was expecting is actually a mud brown. i think it's unfortunate that retailer misrepresented such a key element of the jacket"," but i digress. the"";4;1;0;General;Jackets;Outerwear",,,,,,,,,
128;1133;30;;This coat is beautiful! i love the color and the design. it definitely runs a little large. i usually wear a small or a zero and i can wear a small wth a large sweater underneath no problem. i might have wanted an extra small but i just stuck with the small because i needed the coat already. the vest keeps it warm, but the sleeves aren't lined so it's cold unless you have a nice sweater underneath it if you're going to be in cold weather.;5;1;0;General;Jackets;Outerwear,,,,,,,,,,,
"129;966;52;Cute vest but...;""Nice vest", pretty olive color," hangs nice but...its just kinda funny. just hangs and really looks odd when tied. i like the laying piece just wished it had more """"umph""""."";4;1;0;General;Jackets;Jackets",,,,,,,,,,
130;863;28;Great top;This top is super comfy and casual. the slit/design in the front gives it more of a stylish look than your average white long sleeve tee. would definitely recommend.;5;1;0;General;Tops;Knits,,,,,,,,,,,,
131;845;62;;Intrepid soul that i am, i washed it in the machine in cold water on a 25 minute cycle, then put it in the dryer for 8 minutes, shook it out, hung it up, and it is just the same as when it went in. doesn't need to be ironed and didn't shrink. yes, the swing is vast, but that is part of its charm. pair it with a fitted piece on the bottom and no one will think that you are actually needing that much material to cover anything! i think it is fun, something i will use for years, wonderfully comfort;4;1;3;General Petite;Tops;Blouses,,,
"132;1081;39;Just ok;""It's ok", fit doesn't wow me because of my body. chest is too wide," hips look too narrow. drapes across my back fat in an especially non-flattering way. basically made my square-apple body look more square-apple. great part about this dress is that it's comfy and hides the tummy pooch. construction is poorly done...contrasting liner at v-neck is rolling out on one side only and then doing the same at the hem contralaterally. another negative point is dry clean only. boo. i'm 5'3"""" 140# 39-28-35 an"";3;1;0;General;Dresses;Dresses",,,,,,,,,,
133;861;46;Pernette henley;In my retailer this was hung over in the pj section, and it really has more of a jammie top feel... soft, thin and stretchy. it's super cozy and comfortable and it drapes really nice. mine seems to have stretched out a little, especially the neckline (and the little buttons have a hard time staying closed). i'm happy with it though for what it is - a great, casual day t.;4;1;1;General Petite;Tops;Knits,,,,,,,,
134;966;36;Stylish and versatile!;I love this vest! there are so many ways to style it...open or tied closed, over a dress or with a tshirt and jeans. i get compliments every time i wear it. it's soft and light enough to add interest to an outfit without being too heavy/hot to wear all day.;5;1;0;General;Jackets;Jackets,,,,,,,,,,,
135;845;65;You'll smile on a humid summer's day;This blouse is a perfect creation: perfect-weight cotton, many, many details, and color, all perfectly executed. there's fullness to the body, so this will definitely be easy to wear in hot, humid locations this summer, and it would be easy to pair with many things you have already for a casual yet collected look. there's no mistaking quality when you look at this piece! i bought the medium for my 130#, 34f, size 8 blouse/tee frame. this is the blouse you will have for years, and you will enjoy;5;1;12;General Petite;Tops;Blouses,,
136;861;35;;;4;1;0;General Petite;Tops;Knits,,,,,,,,,,,,
"137;966;31;A new staple for my wardrobe;""Love this vest! the color looks a little more brown in the picture than it really is--it's a deep forest green that goes great with jeans or black pants. a great piece for polished but casual style", and the fabric has a nice, soft suede-like finish.,,,,,,,,,,
,,,,,,,,,,,,
if only the was *slightly* higher to hit my true natural waist, it would get that fifth star (but sometimes i wear petite sizes," so that might be the issue here--still looks good tied)."";4;1;0;General;Jackets;Jackets",,,,,,,,,,
138;836;52;Runs short;I received the sky color in m online.  am definetly keeping it as it is beautiful.  however i wish they had made it a little less wide and more long.  i am 5 3 and could totally size down to a s but even at my height it would be too short.  i like crop tops and waist hitting tops a lot.  but the shortness on this one just looks like it shrunk in the dryer;4;1;0;General;Tops;Blouses,,,,,,,,,,,,
139;126;34;Feminine alternative to your shapeless puffer;I am obsessed with peplum down coats because the ones you usually see have no shape and are extremely unflattering. i was excited for this to arrive. this is quite nice and it looks more feminine than the other down coats out there. the coat itself runs just true to my shirt size but not what i want for a coat. i will be returning this for a size up because i will want to wear a sweater or at least maybe a thicker shirt under this especially for winter or fall. the fabric is decent and the weigh;4;1;1;Initmates;Intimate;Lounge,,,,,,,,,,,,
140;1008;31;Love. love. love this skirt!!;The silhouette and length of this skirt and length are flattering, classic and comfortable! the colors and weight of this skirt make it versatile - could be worn year-round (so long as it's not 100 degrees out - there is a bit of weight to it). it's one of my favorite pieces in my closet. can be styled 20 different ways. pair with a higher-end tee, tank, denim jacket or body-hugging sweater. i sized down.;5;1;1;General;Bottoms;Skirts,,,,,,,,,
141;829;36;Pretry top;Perfect for work or going out. i layered this with the reversible tank in medium pink so it would be work appropriate. it did not feel scratchy to me, maybe because i layered it. great buy especially with the discounts. feel like i lucked out.;5;1;0;General;Tops;Blouses,,,,,,,,,,,
142;828;39;;It's a pretty top, but it runs very short. the back is also pretty see through so i'm not sure i will keep it. it's called off the shoulder but it is so tight when you try and actually wear it off the shoulder. great design, just not sure i will keep it due to length;4;1;2;General;Tops;Blouses,,,,,,,,,,
143;1126;35;;;5;1;0;General;Jackets;Outerwear,,,,,,,,,,,,
144;1008;51;Great classic;Ii'm not usually big on lace but this is so unique and versatile that i went for it. looks good dressed up w/a nice top or casual w/a tee. can be worn practically all year. love it!;5;1;0;General;Bottoms;Skirts,,,,,,,,,,,,
145;829;39;Beautiful," but scratchy;""My firned tried this on and her first comment was """"take it off"," it is scratchy""""", so i didn't bother trying it on. it is, however, beautiful, if you are not sensitive to scratchy material.,,,,,,
"fit was true to size."";3;0;9;General;Tops;Blouses",,,,,,,,,,,,
"146;828;39;On the fence;""The stylist had me try this top on off the shoulders", but that was kind of snug, perhaps why it didn't fit right, it is not off the shoulders on this picture. the cut is loose, so it looked big on me, but going smaller would not have worked the way i had it on... may give it another try on. xs was big, so would need to try the xxs next time. but off the shoulders looked nice on the lady who was smaller built next to me!,,,,,,
,,,,,,,,,,,,
colors are nice, light," but appropriate for fall (or summer!) light fabri"";3;1;2;General;Tops;Blouses",,,,,,,,,,
147;1008;39;So pretty, a bit long and bigger than what i read;Some reviewers found this skirt to be on the smaller side, but for me, it was big,,, too bad the smaller size is sold out (well, all peittes are sold out). the length is also pretty long, below the knee, but in the narrow part still...so able to keep it. the colors are great. i brought it in the store to try on in front fo the stylists, adn they all loved it and told me to keep it... winner for sure!;5;1;0;General;Bottoms;Skirts,,
148;1011;47;Cute skirt!;I purchased this skirt at retailer store in texas. i fell in love since i saw it. the fabric is nice and the colors are pretty and cheerful for this spring/summer !! and it has pockets on the sides! don't we love pockets? very practical and lightweight;5;1;1;General;Bottoms;Skirts,,,,,,,,,,,,
149;1008;64;Very pretty;This is a very pretty skirt and the colors are better in real life. sizing was mostly true to size for me, slightly tight in the waist but i have a thicker waist compared to my hips. i'm 5'7 and 138# and ordered a size 4 (i usually size up to a 6 with retailer pencil skirts.) a 6 probably would have fit as well, especially in the waist but didn't want it too big in the hips. length was perfect, to my knees.;5;1;0;General;Bottoms;Skirts,,,,,,,,,
"150;1008;38;A beautiful skirt!;""This skirt is wonderful! the price point seems a bit high for the average office gal", but the quality is impeccable. i really enjoy looking at myself in the mirror when wearing this skirt. it can be dressed up, dressed down," worn during all seasons. the design/pattern is artsy and whimsical without being too """"out-there"""" (unless you want it to be", of course!). the fit is true to size," and the delicate details are just lovely."";5;1;2;General;Bottoms;Skirts",,,,,,,
151;1008;36;Gorgeous skirt!;Like other reviewers noted, the pics don't do this skirt justice. it is truly beautiful with an intricate lace pattern and rich colors. can't wait to wear this to work!;5;1;1;General;Bottoms;Skirts,,,,,,,,,,,
152;1008;39;Beautiful;Love this skirt. the detail is amazing. runs small i ordered a 12 i'm usually a 10, but still a little snug.;4;1;0;General;Bottoms;Skirts,,,,,,,,,,,
153;829;53;Not impressed...;Not keeping this one. the fabric is a bit tacky-looking in person, the cut is odd and it's just not me. fit is fine and there are snaps to keep the neckline flat and shaped, the colors are as shown and it is a good length (falls to top of hip). i simply did not like it. too metallic looking maybe...;3;0;0;General;Tops;Blouses,,,,,,,,,,
154;829;36;Fair;The top as with most of ap's tops is well stitched. material is very uncomfortable. if you have large bust it is a little divulging. this may prompt you to wear something underneath to look modest and change the shape of the top!;3;1;1;General;Tops;Blouses,,,,,,,,,,,,
155;829;44;Great colors but....;I love the metallic colors of this top and figured i could wear it under a ruched jacket and circle skirt for work. welp, that's out the window. this design is poor. for one, this is not a piece for a petite woman with no torso and i don't know how anyone with a longer torso wears t his. this hits above my belly botton on and i got apetite 2. i have no torso. so, without a jacket, i would never wear this. it's very low cut..the back is very low..it's a little loose but i run between a 2 and a 4.;3;1;0;General Petite;Tops;Blouses,,,,,,,,
156;829;48;Beautiful colors;This top is so much better in person. i do not agree with some of the other reviews about the fabric being scratchy. it is not and i have sensitive skin. i love this top and have got lots of compliments.;5;1;0;General Petite;Tops;Blouses,,,,,,,,,,,,
157;1008;37;;This is a lovely pencil skirt that is well-made and really brightens a work day. like a lot skirts with multiple colors, a lot of tops feel like they should match but you have to try a few that really work with the skirt and your look to get the right impact.;5;1;1;General;Bottoms;Skirts,,,,,,,,,,,
158;523;43;Australian sizing!!;So  disappointed that no where in the limiting did it mention this suit is australian in size!! i ordered the 10 (i'm usually an 8 but that was sold out) and the suit arrives and doesn't even fir over my hips. -- the label clearly says 10 australian us 6!  gutted that i have to return this suit because of this sizing issue.  the suit looks to be well made and the design is adorable of it only for.;3;0;2;Initmates;Intimate;Swim,,,,,,,,,,,,
159;829;53;;I saw this top online and read the reviews so i passed when i went into the store. when i went in again i thought i would give it a try. so glad i did ! it fits great and is way way prettier in person ! i ended up buying it and so glad i did !;4;1;7;General Petite;Tops;Blouses,,,,,,,,,,,,
160;829;33;Vibrant metallic;This is a very pretty top with vibrant metallic colors. i would be perfect for a holiday party or going out to dinner. it wasn't as scratchy as i thought it would be based on the reviews, however, it ran a little big. i'm 5.3 and about 130 pounds and i almost always wear a size 6, but the six was too big. i'd recommend sizing down. it was also lower cut than i thought it would be....showed a lot of cleavage (i'm a 34d) so it's not work appropriate. .;4;1;0;General Petite;Tops;Blouses,,,,,,,,,
161;1126;39;So sad not mine;Love everything about this beautiful coat except the way it fits on me.  it is just perfect in the shoulders but once it flares out at the bottom, i look like a clown costume.  if i size down it will not fit in my shoulders.  perhaps a tailor can install buckles that match the neckline buckle to the sides of the coat to fold in the flare.  on another note the buckle at the neckline feels very hard and fake, not sure if it's real leather.;4;1;0;General;Jackets;Outerwear,,,,,,,,,,
162;829;52;Scratchy," uncomfortable top;""The title says it all....this fabric of this top is both the best and worst part of the design. the colors are vibrant and the combination of materials (shoulder is a knit", sweater-like navy fabric) is interesting. however, that is where the positive comments end on this one. the top is so scratchy,, stiff, and, frankly, uncomfortable. i cannot imagine wanting to wear it. it could benefit from a lining, and that might have solved the problem of scratchy, itchy fabric.,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
